Date,High,Low,Open,Close,Volume,Adj Close
2017-01-02,169.5978240966797,163.4500732421875,165.47906494140625,168.94174194335938,35058.0,165.70578002929688
2017-01-03,172.52590942382812,166.1230010986328,169.85296630859375,170.92214965820312,85705.0,167.64822387695312
2017-01-04,172.85394287109375,165.96505737304688,171.69972229003906,169.60997009277344,542963.0,166.3612060546875
2017-01-05,172.50160217285156,169.8772735595703,171.31092834472656,170.42401123046875,37153.0,167.15965270996094
2017-01-06,172.4894561767578,169.60997009277344,171.0679473876953,170.03521728515625,33449.0,166.7782745361328
2017-01-09,171.0679473876953,169.12399291992188,170.93429565429688,169.8408203125,25992.0,166.58761596679688
2017-01-10,171.18943786621094,169.12399291992188,170.09596252441406,169.5735321044922,42017.0,166.325439453125
2017-01-11,170.75204467773438,168.51649475097656,170.33895874023438,170.3754119873047,70841.0,167.11196899414062
2017-01-12,171.04364013671875,169.64642333984375,170.824951171875,169.9866180419922,35062.0,166.73062133789062
2017-01-13,172.52590942382812,169.1847381591797,172.52590942382812,170.6791534423828,54186.0,167.40988159179688
2017-01-16,172.52590942382812,170.1081085205078,171.04364013671875,171.82122802734375,35803.0,168.53009033203125
2017-01-17,172.2829132080078,171.12869262695312,171.82122802734375,171.73617553710938,30408.0,168.44667053222656
2017-01-18,175.33248901367188,171.31092834472656,172.52590942382812,172.63525390625,113842.0,169.3285369873047
2017-01-19,174.81005859375,170.12025451660156,172.63525390625,171.1772918701172,68483.0,167.89849853515625
2017-01-20,172.52590942382812,166.4510498046875,172.52590942382812,167.41087341308594,117652.0,164.20423889160156
2017-01-23,171.73617553710938,163.57156372070312,168.15200805664062,168.52865600585938,64178.0,165.3005828857422
2017-01-24,171.96701049804688,168.39500427246094,170.5819549560547,168.69874572753906,82557.0,165.46742248535156
2017-01-25,172.16140747070312,167.96975708007812,168.73519897460938,171.39598083496094,258574.0,168.11300659179688
2017-01-27,176.03717041015625,171.28663635253906,171.31092834472656,175.29603576660156,187070.0,171.93836975097656
2017-01-30,177.34933471679688,174.2754669189453,175.29603576660156,175.9642791748047,177814.0,172.59376525878906
2017-01-31,176.12222290039062,173.2548828125,176.12222290039062,174.54275512695312,108961.0,171.19947814941406
2017-02-01,178.6007537841797,172.841796875,175.91567993164062,177.85963439941406,97895.0,174.45285034179688
2017-02-02,183.4606475830078,178.10263061523438,178.5764617919922,179.14749145507812,148353.0,175.7160186767578
2017-02-03,187.10556030273438,179.8643341064453,181.00640869140625,185.50180053710938,252129.0,181.9486083984375
2017-02-06,193.58135986328125,183.4849395751953,187.10556030273438,189.20745849609375,283311.0,185.5832977294922
2017-02-07,198.67208862304688,188.32052612304688,191.0663604736328,190.56822204589844,156332.0,186.91799926757812
2017-02-08,193.31405639648438,188.57566833496094,191.73460388183594,192.07479858398438,127863.0,188.39569091796875
2017-02-09,193.78790283203125,187.84669494628906,192.1355438232422,191.10281372070312,57182.0,187.44235229492188
2017-02-10,192.3785400390625,187.74949645996094,189.53550720214844,191.44300842285156,76335.0,187.77603149414062
2017-02-13,195.11221313476562,189.5719451904297,193.4234161376953,193.10751342773438,90446.0,189.40867614746094
2017-02-14,193.88510131835938,190.0579376220703,193.6299591064453,190.95701599121094,43643.0,187.29933166503906
2017-02-15,191.91683959960938,187.8345489501953,190.2644805908203,188.4541778564453,59877.0,184.8444366455078
2017-02-16,193.50845336914062,187.33641052246094,187.36070251464844,192.6458282470703,64639.0,188.95582580566406
2017-02-17,194.32249450683594,190.7626190185547,191.96543884277344,193.800048828125,295961.0,190.0879669189453
2017-02-20,194.38323974609375,190.90841674804688,193.800048828125,191.57666015625,160966.0,187.9071044921875
2017-02-21,193.8607940673828,191.23646545410156,193.8607940673828,191.5644989013672,26996.0,187.89520263671875
2017-02-22,193.28976440429688,188.8672637939453,193.15611267089844,190.3495330810547,55375.0,186.70352172851562
2017-02-23,191.83180236816406,186.86256408691406,190.3495330810547,187.32424926757812,91829.0,183.73617553710938
2017-02-27,191.9532928466797,186.88687133789062,190.75047302246094,191.09066772460938,102586.0,187.43043518066406
2017-02-28,191.9532928466797,187.10556030273438,191.09066772460938,187.91958618164062,43725.0,184.32009887695312
2017-03-01,190.31307983398438,187.17845153808594,190.31307983398438,188.19903564453125,35379.0,184.59417724609375
2017-03-02,189.51119995117188,158.74813842773438,189.51119995117188,185.63543701171875,120731.0,182.07969665527344
2017-03-03,187.00836181640625,178.6129150390625,185.63543701171875,180.240966796875,118467.0,176.78855895996094
2017-03-06,182.70736694335938,174.25115966796875,180.78770446777344,178.35777282714844,146773.0,174.9414520263672
2017-03-07,183.4606475830078,176.6568145751953,179.34188842773438,180.8727569580078,55643.0,177.40826416015625
2017-03-08,191.22430419921875,176.77830505371094,181.0428466796875,188.64857482910156,630405.0,185.03514099121094
2017-03-09,190.7383270263672,184.72421264648438,187.3485565185547,188.38128662109375,116397.0,184.77294921875
2017-03-10,189.77850341796875,186.61956787109375,188.32052612304688,187.3728485107422,176609.0,183.78382873535156
2017-03-14,190.7383270263672,185.90274047851562,189.53550720214844,186.88687133789062,93512.0,183.30715942382812
2017-03-15,193.180419921875,187.12985229492188,188.07752990722656,192.24488830566406,415199.0,188.5625457763672
2017-03-16,195.6103515625,192.5850830078125,194.88137817382812,193.593505859375,233071.0,189.88534545898438
2017-03-17,194.38323974609375,186.38873291015625,193.90939331054688,188.29623413085938,201893.0,184.68955993652344
2017-03-20,192.9374237060547,188.64857482910156,190.75047302246094,192.14768981933594,284076.0,188.46722412109375
2017-03-21,193.180419921875,190.99346923828125,192.18414306640625,191.90469360351562,108200.0,188.2288818359375
2017-03-22,191.96543884277344,188.32052612304688,191.90469360351562,189.92428588867188,199914.0,186.28640747070312
2017-03-23,191.11495971679688,189.83924865722656,190.72616577148438,190.33738708496094,2701311.0,186.6915740966797
2017-03-24,193.08322143554688,188.61212158203125,188.61212158203125,190.00933837890625,280257.0,186.3697967529297
2017-03-27,191.68600463867188,187.10556030273438,189.30465698242188,187.6158447265625,2603958.0,184.02215576171875
2017-03-28,190.75047302246094,183.53353881835938,188.7822265625,185.33169555664062,126632.0,181.7817840576172
2017-03-29,188.07752990722656,182.61016845703125,188.07752990722656,183.55784606933594,349572.0,180.04190063476562
2017-03-30,185.4532012939453,182.54942321777344,184.6756134033203,183.02325439453125,1219160.0,179.51754760742188
2017-03-31,186.83827209472656,183.47279357910156,185.4532012939453,186.02423095703125,590569.0,182.46102905273438
2017-04-03,193.66639709472656,186.6438751220703,188.0653839111328,191.8439483642578,675028.0,188.16928100585938
2017-04-05,194.03089904785156,191.6009521484375,192.6458282470703,192.88882446289062,350428.0,189.19415283203125
2017-04-06,193.90939331054688,190.1429901123047,193.89724731445312,190.592529296875,79557.0,186.94183349609375
2017-04-07,191.72244262695312,186.7896728515625,188.32052612304688,190.72616577148438,339777.0,187.0729217529297
2017-04-10,191.9532928466797,188.8065185546875,190.07008361816406,190.1429901123047,100508.0,186.50091552734375
2017-04-11,193.78790283203125,191.50375366210938,193.78790283203125,192.77947998046875,170127.0,189.08689880371094
2017-04-12,193.78790283203125,189.18316650390625,193.78790283203125,191.23646545410156,126435.0,187.5734405517578
2017-04-13,192.29348754882812,187.17845153808594,192.29348754882812,188.9523162841797,60404.0,185.3330535888672
2017-04-17,192.14768981933594,189.17100524902344,189.17100524902344,191.01776123046875,118455.0,187.35894775390625
2017-04-18,194.97857666015625,190.99346923828125,190.99346923828125,192.609375,295998.0,188.92005920410156
2017-04-19,194.05519104003906,190.50747680664062,192.68228149414062,192.62152099609375,69248.0,188.93197631835938
2017-04-20,197.55430603027344,192.28134155273438,193.81219482421875,194.5411834716797,285545.0,190.81488037109375
2017-04-21,195.8533477783203,190.179443359375,192.69442749023438,194.61407470703125,183860.0,190.8863525390625
2017-04-24,196.09634399414062,191.98974609375,195.3430633544922,194.006591796875,106652.0,190.2904815673828
2017-04-25,196.5701904296875,193.21685791015625,194.3953857421875,195.9626922607422,114006.0,192.20913696289062
2017-04-26,199.25526428222656,195.8290557861328,195.8290557861328,198.7935791015625,231318.0,194.9857940673828
2017-04-27,214.78260803222656,199.37677001953125,199.595458984375,213.38539123535156,1325784.0,209.29812622070312
2017-04-28,214.80690002441406,208.2217559814453,214.5153045654297,213.3003387451172,266701.0,209.2147216796875
